time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.06289410272e-09,-7.51106847155e-09,0.0699606403758,6.28318297872,1.55935405655e-06,0.0,-5.05632872407e-07,-7.52575493637e-07,2.33038025028,-0.000116549262879,7.79257675857e-05,0.0,899.996746927,899.999899795,900.002393224,899.997677662
0.12000000000000001,-2.47934755717e-07,-3.71905268397e-07,0.279078070821,6.28317453789,6.84592609446e-06,0.0,-9.7036537995e-06,-1.46686278736e-05,4.63391055472,-0.000188994719008,0.000108472693149,0.0,899.998299402,899.999533603,900.000660505,899.997731864
0.18,-1.51848084721e-06,-2.35362789114e-06,0.624818566225,6.28316182296,1.39182950463e-05,0.0,-3.54023068777e-05,-5.62817208556e-05,6.88013951471,-0.000257804067149,0.000136669588105,0.0,899.998414373,899.999552857,900.000521742,899.997741705
0.23999999999999996,-4.92258157945e-06,-7.91848428141e-06,1.10289939144,6.28314463649,2.24536903772e-05,0.0,-8.12346861121e-05,-0.000135445746316,9.04143552159,-0.000343786524416,0.000153430138751,0.0,899.999005958,899.99968105,900.000743466,899.997269846
0.3,-1.17249151373e-05,-1.95911393861e-05,1.70749831819,6.28312378123,3.26287005912e-05,0.0,-0.000148849787034,-0.000260921494324,11.0942770024,-0.000355192322697,0.000201876144543,0.0,899.999518568,900.001475675,899.997868506,899.997414878
0.36000000000000004,-2.33024486743e-05,-4.02192620528e-05,2.43152877744,6.28310272881,4.39072289202e-05,0.0,-0.000240696232524,-0.000433205177609,13.0201369946,-0.000342236438326,0.000160154905075,0.0,900.002085953,900.000392612,899.99704712,899.997579755
0.4200000000000001,-4.10240622673e-05,-7.24150817941e-05,3.26695378194,6.28308238193,5.28513360969e-05,0.0,-0.000352277930096,-0.000645258895873,14.8058888396,-0.000332870862612,0.000126882517301,0.0,900.001118545,899.999768048,899.997414685,899.997801735
0.48000000000000015,-6.58166831546e-05,-0.000118319029959,4.2051111818,6.28306240959,5.92847513108e-05,0.0,-0.00047523201607,-0.000889023537015,16.443785497,-0.000332874935038,6.78698601888e-05,0.0,900.001912121,899.999520384,899.997772169,899.997779753
0.5400000000000001,-9.81054790498e-05,-0.00017962353081,5.23702531127,6.28304281864,6.18772105945e-05,0.0,-0.000600738661272,-0.00115765449157,17.9310410235,-0.000313798800748,-6.17114877171e-06,0.0,900.001219674,899.998220828,899.997019627,899.997799606
0.6000000000000002,-0.000137762133306,-0.000257611264111,6.35368616236,6.28302421244,6.10891233261e-05,0.0,-0.00071963952311,-0.00144403683232,19.2691832934,-0.000302712041622,-2.70681919172e-05,0.0,900.00030523,899.999459403,899.99751717,899.997973312
0.6600000000000003,-0.000184230628753,-0.000353149348732,7.54628362969,6.28300509425,5.98978185655e-05,0.0,-0.000827674923481,-0.00174200187501,20.4632209388,-0.000350510335504,-5.43015967767e-06,0.0,900.000343962,900.001220603,899.999178687,899.997250647
0.7200000000000003,-0.000236881884688,-0.000466867146782,8.80639037631,6.28298307646,5.98631394135e-05,0.0,-0.000926152577237,-0.00205017618515,21.5207777508,-0.000399894658915,9.1263598459e-06,0.0,900.000784894,900.001374357,899.998693822,899.996702605
0.7800000000000004,-0.000295217406977,-0.000599404141413,10.1260942135,6.28295909283,6.11354177869e-05,0.0,-0.00101748275582,-0.00236932571296,22.4512852298,-0.000399392588345,4.5354683533e-05,0.0,900.000798609,900.002265183,899.997704604,899.997734247
0.8400000000000004,-0.000358891942646,-0.000751378751611,11.4980838699,6.28293515909,6.51844830735e-05,0.0,-0.00110468044811,-0.00269761704808,23.2652429455,-0.000397901471114,0.000111715340984,0.0,899.999750633,900.002436413,899.998743374,899.998813055
0.9000000000000005,-0.000427787064593,-0.000923252207741,12.9156942839,6.28291021487,7.27646341945e-05,0.0,-0.001192194356,-0.00303236011217,23.973611437,-0.000451438341856,0.000155566252205,0.0,899.999976413,900.001749297,900.000302005,899.998143584
0.9600000000000005,-0.000502033822012,-0.0011154051118,14.3729195824,6.28288315983,8.20066294605e-05,0.0,-0.00128334916818,-0.00337380324157,24.5873421122,-0.000449875143661,0.000150966518157,0.0,900.000454941,900.000265048,900.000772478,900.000846286
1.0200000000000005,-0.000581870314489,-0.00132824274189,15.8644009974,6.28285601439,9.09395313489e-05,0.0,-0.00137836374182,-0.00372163156746,25.1170107031,-0.000457523172887,0.000144710957851,0.0,899.999414507,899.99915767,900.000320447,900.000021246
1.0800000000000005,-0.000667498297168,-0.00156211751469,17.3853974808,6.28282733449,9.91277090909e-05,0.0,-0.00147624486461,-0.00407506003357,25.5726035645,-0.00051898764447,0.000119978786066,0.0,899.999372104,899.998367254,900.001701072,899.999222906
1.1400000000000006,-0.000759051024954,-0.00181740531375,18.9317449047,6.28279479321,0.000106411403118,0.0,-0.00157565359289,-0.00443585175213,25.9633489744,-0.000589138610249,0.000124227514416,0.0,899.999231022,899.999400247,900.001424669,899.998596143
1.2000000000000006,-0.000856601087211,-0.00209464136128,20.4998080198,6.28275894438,0.000115688269524,0.0,-0.00167630961131,-0.00480708877083,26.2976411914,-0.00061417260752,0.000215330589208,0.0,899.997552663,900.001238786,899.999016335,899.998016312
1.2600000000000007,-0.000960301374552,-0.00239451180231,22.0864300142,6.28272150968,0.000131400385365,0.0,-0.00178141080228,-0.00519045383077,26.5830335055,-0.000643400212496,0.000354800026849,0.0,899.996977582,900.002620138,899.999183097,899.998013823
